Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
06/15/2025|Aanedot||||1340 Poydras Street, Suite 1770|New Orleans|LA|70112||2|201.1|Bank Charges for Credit Card Processings|GN||||N|
06/12/2025|USPS||||217 N 27th St|Billings|MT|59101||2|29.2|Postage|GN||||N|
06/04/2025|Meadowlark Brewery||||3970 Pierce Parkway|Billings|MT|59106||2|50.0|Depoisit for room rental|GN||||N|
06/09/2025|Downtown Billings Assoication||||102 N 29th St|Billings|MT|59101||2|30.0|Strawberry Festival Booth|GN||||N|
02/25/2025|Main Street Printers||||1327 Main St|Billings|MT|59105||2|58.0|remittence envelopes|GN||||N|
06/01/2025|rebel river creative||||2921 2nd Avenue N|Billings|MT|59101||2|2500.0|Campaing Marketing|GN|World Wide Web||Digital / Print marketing materials|N|
05/01/2025|Go Daddy||||2155 E GoDaddy Way|Tempe|AZ|85284||2|23.88|Web site|GN||||N|
05/27/2025|USPS||||2602 1st Avenue N|Billings |MT|59101||2|14.6|Postage|GN||||N|
05/01/2025|Yellowstone County||||217 N 27th St|Billibngs|MT|59101||2|240.0|Filing fee|GN||||N|
05/03/2025|rebel river creative||||2921 2nd Ave N|Billings|MT|59101||2|1255.0|Campaign marketing materials|GN||||N|
