Date Paid|Entity Name|First Name|Middle Initial|Last Name|Addr Line1|City|State|Zip|Zip4|Expenditure Type|Amount|Purpose|Election Type|Expenditure Platform|Expenditure Quantity|Expenditure Specific Services|Attachment
07/05/2025|Fireweed Campaigns||||PO Box 87|Helena|MT|59624||2|1357.0|Campaign management|GN|||Campaign management|N|
07/05/2025|Canva||||200 E 6th Street|Austin|TX|78701||2|108.0|Thank you cards|GN||500|Printing|N|
07/05/2025|Squarespace||||225 Varick Street 12th Floor|New York|NY|10014||2|178.0|Website hosting|GN|||Website hosting|N|
07/11/2025|Costco||||3880 Zoo Dr|Billings|MT|59102||2|314.01|Fundraiser supplies|GN|||Fundraiser supplies|N|
07/15/2025|Anedot, Inc||||1340 Poydras Street Suite 1770|New Orleans|LA|70112||2|344.62|Donor platform fees for the period June 21 - July 15, 2025|GN|Anedot||Online donation management and processing|N|
07/14/2025|Costco||||3880 Zoo Dr|Billings|MT|59102||2|39.96|Fundraiser supplies|GN|||Fundraiser supplies|N|
07/14/2025|Albertsons||||5317 Grand Ave|Billings|MT|59106||2|16.5|Fundraiser Supplies - Consumables|GN|||Food and beverages|N|
07/11/2025|Albertsons||||5317 Grand Ave|Billings|MT|59106||2|95.25|Fundraiser Supplies - Consumables|GN|||Food and beverages|N|
07/05/2025|Squarespace||||225 Varick Street 12th Floor|New York|NY|10014||2|84.0|Google workspace subscription|GN|||Online campaign platform|N|
07/05/2025|Squarespace||||225 Varick Street 12th Floor|New York|NY|10014||2|56.0|Website domains|GN||4|Website domains|N|
07/05/2025|Nametag Wizard||||2021 Saint Augustine Rd E Ste 2|Jacksonville|FL|32207||2|16.48|Candidate name tags|GN|||Name tags|N|
